ag_id,ag_name,citycode,feed_id,label,feed_name,relatedLink,official,feed_note,prefcode,prefname,catalog_name,feed_publisher,feed_service_begin_date,available_data,feed_page_url,license_name,license_url,feed_service_end_date,feed_LastUpdate,feed_start_date,feed_end_date,ver_status,feed_version_note,rt_id,rt_label,rt_catalog_name,rt_catalog_url,rt_status
a16015,西日本ジェイアールバス,,f1601601,西日本ジェイアールバス　名金線,【西日本ジェイアールバス】西日本ジェイアールバスGTFS-JP（名金線）,https://www.nishinihonjrbus.co.jp/local_bus/kanazawa/,1,,16,富山県,富山県オープンデータポータルサイト,富山県観光・交通振興局総合交通政策室,20191001,1,http://opendata.pref.toyama.jp/dataset/nishinihonjr_gtfs,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20200318,20200305,20210304,1,,r0041,西日本ジェイアールバス （名金線）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16016,加越能バス株式会社,,f1601701,加越能バス　一般路線,【加越能バス】加越能バスGTFS-JP（一般路線）,http://www.kaetsunou.co.jp/,1,,16,富山県,富山県オープンデータポータルサイト,加越能バス株式会社,20191028,1,http://opendata.pref.toyama.jp/dataset/kaetsunou_gtfs_ippan,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正,r0037,加越能バス（一般路線）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16016,加越能バス株式会社,,f1601702,加越能バス　世界遺産バス,【加越能バス】加能越バスGTFS-JP（世界遺産バス）,http://www.kaetsunou.co.jp/company/sekaiisan/,1,,16,富山県,富山県オープンデータポータルサイト,加越能バス株式会社,20191028,1,http://opendata.pref.toyama.jp/dataset/kaetsunou_gtfs_sekaiisan,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20200528,20200601,20210531,1,2020/6/1改正,r0038,加越能バス（世界遺産バス）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16016,加越能バス株式会社,,f1601703,加越能バス　瑞龍寺線シャトルバス,【加越能バス】加能越バスGTFS-JP（瑞龍寺線）,http://www.kaetsunou.co.jp/7405/,1,,16,富山県,富山県オープンデータポータルサイト,加越能バス株式会社,20191028,1,http://opendata.pref.toyama.jp/dataset/kaetsunou_gtfs_zuiryuji,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210401,20220331,1,2021/4/1改正（運休）,r0039,加越能バス（瑞龍寺線）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a16016,加越能バス株式会社,,f1601704,加能越バス　氷見市街地周遊バス,【加越能バス】加能越バスGTFS-JP（氷見市街地周遊バス）,http://www.kaetsunou.co.jp/regular/himi-banyagai/,1,,16,富山県,富山県オープンデータポータルサイト,加越能バス株式会社,20191226,1,http://opendata.pref.toyama.jp/dataset/kaetsunou_gtfs_himi,CC 0,https://creativecommons.org/publicdomain/zero/1.0/deed.ja,,20210326,20210325,20220324,1,,r0040,加越能バス（氷見市街地周遊バス）,富山県バス情報データ（GTFS-JP、GTFS-RT）,http://opendata.pref.toyama.jp/pages/gtfs_jp.htm,1
a21001,中津川市,21206,f2100101,中津川市コミュニティバス,中津川市コミュニティバス,http://www.city.nakatsugawa.gifu.jp/page/051067.html,1,,21,岐阜県,公共交通利用促進ネットワーク,中津川市公共交通会議,20180726,1,https://www.rosenzu.com/~gtfs/nakatsugawa/index.html,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210211,20210401,20220331,1,2021/4/1改正,r0005,中津川市コミュニティバス,中津川市,http://www.city.nakatsugawa.gifu.jp/page/083409.html,0
a21002,北恵那交通株式会社,,f2100201,北恵那バス（北恵那交通）,北恵那交通,http://www.kitaena.co.jp/,1,,21,岐阜県,公共交通利用促進ネットワーク,北恵那交通株式会社,20181211,1,https://www.rosenzu.com/~gtfs/kitaena/index.html,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210219,20210401,20220331,1,2021/4/1改正,r0043,北恵那バス,北恵那交通　オープンデータ,http://www.rosenzu.com/~gtfs/kitaena/index.html,1
a23002,豊橋市,23201,f2300201,豊橋市「地域生活」バス（コミュニティバス）,豊橋市 コミュニティバス GTFSデータ,http://www.city.toyohashi.lg.jp/10273.htm,1,乗合タクシーは収録なし,23,愛知県,東三河オープンデータ,豊橋市,20181206,1,https://opendata-east-mikawa.jp/node/787,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210331,20210329,20220331,1,2021/3/29改正,r0010,豊橋市コミュニティバス（要APIキー）,豊橋市 コミュニティバス（東三河オープンデータ）,https://opendata-east-mikawa.jp/node/787,2
a23005,豊橋鉄道株式会社,,f2300501,豊橋鉄道市内線,豊橋鉄道市内線 GTFSデータ,https://www.toyotetsu.com/,1,時刻データはfrequencies使用,23,愛知県,東三河オープンデータ,豊橋鉄道株式会社,20190424,1,https://opendata-east-mikawa.jp/node/784,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20210331,20210301,20220331,1,,r0011,豊橋鉄道市内線（要APIキー）,豊橋鉄道市内線（東三河オープンデータ）,https://opendata-east-mikawa.jp/node/784,2
a24007,木曽岬町,24303,f2400701,木曽岬町自主運行バス,木曽岬町自主運行バス,https://www.town.kisosaki.lg.jp/soshiki_view.php?so_cd1=8&so_cd2=15&so_cd3=0&so_cd4=0&so_cd5=0&bn_cd=4,1,,24,三重県,木曽岬町オープンデータサイト,木曽岬町,20200428,1,http://www.town.kisosaki.lg.jp/contents_detail.php?frmId=1461,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/deed.ja,,20200428,20200401,20210331,1,,r0042,木曽岬町自主運行バス,木曽岬町自主運行バスGTFSリアルタイム　車両位置情報,http://www.town.kisosaki.lg.jp/contents_detail.php?co=kak&frmId=1461,1
